ref,traded,session,bars,spread_mean,spread_std,abs_spread_mean,abs_spread_median,abs_spread_p75,abs_spread_p90,freq_dz1.0,freq_dz1.5,freq_dz2.0,freq_dz2.5,freq_dz3.0,freq_dz3.5,edge_dz1.0_f1,wr_dz1.0_f1,n_dz1.0_f1,hedge_edge_dz1.0_f1,hedge_wr_dz1.0_f1,hedge_n_dz1.0_f1,edge_dz1.0_f2,wr_dz1.0_f2,n_dz1.0_f2,hedge_edge_dz1.0_f2,hedge_wr_dz1.0_f2,hedge_n_dz1.0_f2,edge_dz1.0_f3,wr_dz1.0_f3,n_dz1.0_f3,hedge_edge_dz1.0_f3,hedge_wr_dz1.0_f3,hedge_n_dz1.0_f3,edge_dz1.5_f1,wr_dz1.5_f1,n_dz1.5_f1,hedge_edge_dz1.5_f1,hedge_wr_dz1.5_f1,hedge_n_dz1.5_f1,edge_dz1.5_f2,wr_dz1.5_f2,n_dz1.5_f2,hedge_edge_dz1.5_f2,hedge_wr_dz1.5_f2,hedge_n_dz1.5_f2,edge_dz1.5_f3,wr_dz1.5_f3,n_dz1.5_f3,hedge_edge_dz1.5_f3,hedge_wr_dz1.5_f3,hedge_n_dz1.5_f3,edge_dz2.0_f1,wr_dz2.0_f1,n_dz2.0_f1,hedge_edge_dz2.0_f1,hedge_wr_dz2.0_f1,hedge_n_dz2.0_f1,edge_dz2.0_f2,wr_dz2.0_f2,n_dz2.0_f2,hedge_edge_dz2.0_f2,hedge_wr_dz2.0_f2,hedge_n_dz2.0_f2,edge_dz2.0_f3,wr_dz2.0_f3,n_dz2.0_f3,hedge_edge_dz2.0_f3,hedge_wr_dz2.0_f3,hedge_n_dz2.0_f3,edge_dz2.5_f1,wr_dz2.5_f1,n_dz2.5_f1,hedge_edge_dz2.5_f1,hedge_wr_dz2.5_f1,hedge_n_dz2.5_f1,edge_dz2.5_f2,wr_dz2.5_f2,n_dz2.5_f2,hedge_edge_dz2.5_f2,hedge_wr_dz2.5_f2,hedge_n_dz2.5_f2,edge_dz2.5_f3,wr_dz2.5_f3,n_dz2.5_f3,hedge_edge_dz2.5_f3,hedge_wr_dz2.5_f3,hedge_n_dz2.5_f3,edge_dz3.0_f1,wr_dz3.0_f1,n_dz3.0_f1,hedge_edge_dz3.0_f1,hedge_wr_dz3.0_f1,hedge_n_dz3.0_f1,edge_dz3.0_f2,wr_dz3.0_f2,n_dz3.0_f2,hedge_edge_dz3.0_f2,hedge_wr_dz3.0_f2,hedge_n_dz3.0_f2,edge_dz3.0_f3,wr_dz3.0_f3,n_dz3.0_f3,hedge_edge_dz3.0_f3,hedge_wr_dz3.0_f3,hedge_n_dz3.0_f3,edge_dz3.5_f1,wr_dz3.5_f1,n_dz3.5_f1,hedge_edge_dz3.5_f1,hedge_wr_dz3.5_f1,hedge_n_dz3.5_f1,edge_dz3.5_f2,wr_dz3.5_f2,n_dz3.5_f2,hedge_edge_dz3.5_f2,hedge_wr_dz3.5_f2,hedge_n_dz3.5_f2,edge_dz3.5_f3,wr_dz3.5_f3,n_dz3.5_f3,hedge_edge_dz3.5_f3,hedge_wr_dz3.5_f3,hedge_n_dz3.5_f3
SP500,XAUUSD,Tokyo,3176,-0.011472,2.372537,1.854720,1.519518,2.680699,3.909601,65.207809,50.566751,37.940806,28.054156,19.867758,13.948363,-0.009235,48.768711,2071,0.002023,51.569290,2071,0.008877,49.975857,2071,-0.034464,51.183003,2071,0.012974,50.458716,2071,-0.022228,50.458716,2071,-0.008700,48.505604,1606,0.002399,51.805729,1606,0.020896,50.124533,1606,-0.027013,51.369863,1606,0.047953,51.867995,1606,-0.045178,49.688667,1606,-0.009289,49.045643,1205,-0.010146,50.954357,1205,0.020739,50.871369,1205,-0.051405,51.452282,1205,0.059045,52.531120,1205,-0.050090,49.377593,1205,-0.007445,49.943883,891,-0.014141,51.290685,891,0.006247,50.392817,891,-0.028706,52.525253,891,0.022585,52.413019,891,-0.005467,50.168350,891,0.006044,50.396197,631,-0.029517,50.871632,631,0.010241,50.871632,631,-0.018760,52.297940,631,0.021952,52.773376,631,-0.000809,50.079239,631,0.012551,51.467269,443,-0.032501,51.015801,443,0.032275,51.015801,443,-0.018570,52.370203,443,-0.003213,53.498871,443,0.063047,51.467269,443
SP500,XAUUSD,London,1585,0.003507,2.376078,1.848669,1.525170,2.636883,3.926935,64.416404,50.788644,37.665615,27.003155,19.873817,13.312303,0.051231,51.909892,1021,-0.057401,49.853085,1021,0.071321,52.007835,1021,-0.021209,48.677767,1021,0.088039,51.909892,1021,0.000046,48.677767,1021,0.067603,52.422360,805,-0.056579,50.062112,805,0.081727,52.670807,805,-0.051132,47.329193,805,0.085754,52.298137,805,-0.000365,47.577640,805,0.070089,51.926298,597,-0.006057,51.926298,597,0.055866,52.093802,597,0.001755,48.408710,597,0.065909,51.591290,597,0.027190,47.738693,597,0.065337,50.467290,428,0.010002,53.504673,428,0.037966,52.570093,428,0.052637,47.663551,428,0.055705,51.869159,428,0.063851,47.429907,428,0.063794,52.380952,315,-0.003356,51.428571,315,0.047121,53.333333,315,-0.013622,45.714286,315,0.081110,52.380952,315,-0.028411,44.761905,315,0.054003,51.658768,211,-0.029861,51.184834,211,0.010709,51.184834,211,-0.009095,45.023697,211,0.029417,50.710900,211,0.029029,45.023697,211
SP500,XAUUSD,NY,1589,0.063215,2.587086,2.018633,1.648247,2.990620,4.166958,65.953430,53.492763,42.227816,32.221523,24.858402,16.865953,0.000775,47.519084,1048,0.005399,51.622137,1048,0.030300,49.236641,1048,-0.042703,51.526718,1048,0.009738,48.377863,1048,0.001028,51.812977,1048,-0.001920,46.941176,850,0.014146,52.941176,850,0.025327,49.411765,850,-0.036459,52.117647,850,-0.000810,47.647059,850,0.008097,51.529412,850,-0.008181,45.901639,671,0.028277,52.906110,671,0.037401,49.180328,671,-0.033953,52.608048,671,0.004742,47.093890,671,0.024830,52.309985,671,-0.011763,45.117188,512,0.042546,53.906250,512,0.034566,49.023438,512,-0.030844,53.515625,512,0.009611,47.265625,512,0.011243,52.539062,512,-0.013798,43.797468,395,0.049689,55.189873,395,0.032749,47.341772,395,-0.039284,55.189873,395,0.014263,46.075949,395,-0.007497,53.417722,395,-0.020652,44.776119,268,0.047925,52.985075,268,0.028196,46.268657,268,-0.010985,54.850746,268,0.015962,45.522388,268,-0.010738,52.238806,268
NDX,XAUUSD,Tokyo,3179,0.008072,2.462170,1.942098,1.626207,2.757283,4.067921,67.159484,53.255741,39.698018,29.223026,21.201636,14.973262,-0.017730,47.775176,2135,0.010131,51.475410,2135,0.008895,50.070258,2135,-0.039721,50.819672,2135,0.028916,51.194379,2135,-0.038844,49.836066,2135,-0.013663,48.198464,1693,0.012492,52.274070,1693,0.011436,50.206734,1693,-0.017402,51.860602,1693,0.038530,51.919669,1693,-0.015114,49.852333,1693,-0.012526,49.366086,1262,0.015022,52.456418,1262,0.022604,50.871632,1262,-0.021737,51.267829,1262,0.056575,53.248811,1262,-0.022196,48.811410,1262,-0.000683,50.484392,929,-0.008475,49.730893,929,0.036028,51.776103,929,-0.063230,50.376749,929,0.066092,54.251884,929,-0.042904,49.085038,929,-0.005646,51.483680,674,-0.016192,48.664688,674,0.039081,51.632047,674,-0.032264,50.890208,674,0.058567,54.747774,674,-0.047488,50.296736,674,-0.017409,48.739496,476,-0.016489,50.630252,476,0.006649,50.000000,476,-0.014965,51.470588,476,0.020656,54.411765,476,0.002232,51.050420,476
NDX,XAUUSD,London,1588,0.010754,2.445683,1.919657,1.565450,2.717458,4.050394,67.317380,52.392947,38.224181,29.156171,21.158690,15.239295,0.058684,52.572498,1069,-0.038308,49.579046,1069,0.076213,52.759588,1069,-0.036192,48.082320,1069,0.081257,52.946679,1069,-0.013356,48.737138,1069,0.030840,51.442308,832,-0.034443,50.120192,832,0.032161,51.322115,832,-0.041062,46.995192,832,0.039966,51.322115,832,-0.009791,47.716346,832,0.068441,52.059308,607,-0.077183,48.764415,607,0.067493,51.235585,607,-0.051501,46.293245,607,0.084453,52.224053,607,-0.041952,46.128501,607,0.108850,52.915767,463,-0.078317,48.596112,463,0.113559,53.347732,463,-0.092027,46.004320,463,0.137651,53.779698,463,-0.072267,46.868251,463,0.030259,50.892857,336,-0.030974,51.190476,336,0.029629,52.678571,336,-0.049284,46.726190,336,0.065448,52.678571,336,-0.048112,48.214286,336,0.119355,53.305785,242,-0.094255,49.173554,242,0.095837,53.305785,242,-0.127528,45.454545,242,0.098987,53.305785,242,-0.060896,47.107438,242
NDX,XAUUSD,NY,1591,0.068187,2.676258,2.096324,1.703179,3.002590,4.470795,68.887492,55.688246,42.740415,33.123821,25.078567,18.227530,0.005026,47.810219,1096,-0.009605,50.273723,1096,0.041650,50.091241,1096,-0.071705,49.178832,1096,0.022821,49.635036,1096,-0.041197,50.456204,1096,-0.004289,46.275395,886,-0.001891,51.128668,886,0.041273,49.774266,886,-0.079932,49.209932,886,0.009580,48.081264,886,-0.035877,51.918736,886,-0.001401,47.058824,680,0.006226,51.470588,680,0.041697,49.705882,680,-0.073860,49.558824,680,0.021918,48.529412,680,-0.034012,51.764706,680,-0.014173,45.161290,527,0.013994,51.423150,527,0.046969,49.335863,527,-0.078214,48.387097,527,0.025462,48.576850,527,-0.027919,52.561670,527,-0.013704,44.360902,399,0.024819,52.130326,399,0.039919,48.120301,399,-0.042875,49.373434,399,0.001899,46.365915,399,0.003069,53.132832,399,-0.033846,41.724138,290,0.026988,50.000000,290,0.049181,50.000000,290,-0.059962,49.310345,290,0.029686,45.517241,290,-0.065746,50.689655,290
GDAXI,XAUUSD,Tokyo,3180,-0.091497,2.381329,1.861031,1.505295,2.661908,3.932227,65.283019,50.220126,38.301887,27.767296,19.559748,14.088050,-0.006795,49.421965,2076,-0.014524,50.626204,2076,0.003748,49.132948,2076,-0.036310,49.710983,2076,0.005105,49.759152,2076,-0.036212,50.385356,2076,-0.010239,49.092048,1597,-0.005308,51.346274,1597,-0.012898,48.090169,1597,-0.020438,50.532248,1597,-0.033126,49.029430,1597,0.000086,50.407013,1597,-0.016502,48.440066,1218,-0.000858,51.642036,1218,-0.018752,48.111658,1218,-0.013592,50.985222,1218,-0.043563,48.440066,1218,0.031072,51.888342,1218,-0.007526,49.037373,883,-0.027867,50.396376,883,-0.001389,49.490374,883,-0.067922,49.377123,883,0.003665,49.716874,883,-0.062032,50.622877,883,-0.012213,50.321543,622,-0.054371,49.196141,622,-0.015058,49.517685,622,-0.124073,46.784566,622,0.001008,50.643087,622,-0.135097,48.553055,622,0.013335,52.232143,448,-0.074707,47.544643,448,0.021360,51.339286,448,-0.169900,46.205357,448,0.004743,50.669643,448,-0.152673,47.767857,448
GDAXI,XAUUSD,London,1590,-0.077349,2.488126,1.927569,1.576482,2.750577,4.084600,64.465409,51.509434,40.000000,29.308176,22.075472,15.974843,-0.015055,49.073171,1025,-0.013513,51.219512,1025,0.002955,49.756098,1025,-0.029089,50.243902,1025,0.011794,49.365854,1025,-0.027546,50.634146,1025,0.005218,49.572650,819,-0.054989,50.427350,819,0.019455,50.305250,819,-0.069797,49.572650,819,0.035039,49.938950,819,-0.085473,49.206349,819,0.008583,49.213836,636,-0.064619,50.157233,636,0.031571,50.628931,636,-0.076431,49.371069,636,0.042851,50.314465,636,-0.088467,49.056604,636,0.034981,50.429185,466,-0.088654,50.858369,466,0.028912,50.000000,466,-0.064556,50.643777,466,0.040885,49.785408,466,-0.066844,49.570815,466,0.026117,49.857550,351,-0.055885,51.282051,351,0.000597,50.427350,351,-0.014744,51.851852,351,0.031203,51.566952,351,-0.038419,49.287749,351,-0.065484,47.244094,254,0.024958,53.543307,254,-0.083987,49.212598,254,0.041235,53.937008,254,-0.042538,50.393701,254,0.024854,50.393701,254
GDAXI,XAUUSD,NY,1591,-0.023528,2.565704,1.998388,1.633717,2.842838,4.229557,67.001886,53.299811,41.169076,30.798240,23.318668,17.159019,0.008326,49.061914,1066,-0.001559,50.938086,1066,0.035859,50.093809,1066,-0.030721,51.500938,1066,0.007578,46.904315,1066,-0.007267,52.251407,1066,0.006374,49.174528,848,-0.006041,50.117925,848,0.034935,49.646226,848,-0.035328,51.415094,848,-0.009217,45.518868,848,-0.013500,51.415094,848,0.009463,46.870229,655,-0.011885,49.923664,655,0.039235,47.786260,655,-0.050277,51.908397,655,0.014181,45.190840,655,-0.027426,52.061069,655,-0.007868,44.693878,490,-0.000575,49.591837,490,0.011870,46.734694,490,-0.023118,53.673469,490,-0.013386,43.877551,490,0.001787,53.469388,490,0.000403,46.361186,371,0.003648,51.212938,371,0.034046,46.630728,371,-0.026841,54.177898,371,-0.000633,43.396226,371,-0.004638,53.369272,371,-0.011096,43.589744,273,0.022126,53.113553,273,0.013337,43.589744,273,0.010549,57.142857,273,-0.020886,41.025641,273,0.014770,55.677656,273
TLT,XAUUSD,NY,1478,-0.437703,2.542524,2.062045,1.746379,2.986044,4.250549,70.162382,56.427605,43.707713,33.761840,24.898512,18.741543,0.018343,46.673095,1037,-0.009404,50.626808,1037,0.026746,47.926712,1037,-0.009084,50.530376,1037,0.060841,47.926712,1037,-0.013969,50.144648,1037,0.036017,47.002398,834,-0.005077,50.239808,834,0.064114,49.280576,834,-0.012180,50.479616,834,0.109761,48.201439,834,-0.026928,50.599520,834,0.017352,45.665635,646,0.010194,50.619195,646,0.053910,48.916409,646,0.002710,50.464396,646,0.101856,47.368421,646,-0.033064,50.154799,646,0.029507,45.490982,499,0.024794,51.302605,499,0.069149,49.498998,499,0.015368,50.300601,499,0.087724,47.094188,499,0.032606,52.104208,499,0.040261,45.652174,368,0.044089,52.717391,368,0.082955,48.641304,368,0.023475,51.902174,368,0.097885,47.554348,368,0.056430,52.717391,368,0.005382,44.765343,277,0.078670,52.707581,277,0.007130,47.653430,277,0.080582,52.707581,277,-0.000901,46.931408,277,0.147360,52.707581,277
