label,session,dz,fwd,tercile,n,edge,wr,score,mom_avg,spread_atr,mode
GDAXI(self),Tokyo,2.0,1,ALL,1478,-0.03252166984581417,0.5148849797023004,-1.25028797328051,0.08719741620040769,0.96,self
GDAXI(self),Tokyo,2.0,1,Low,489,0.009815170171735076,0.5316973415132924,0.21704623822945582,-0.08704209591158317,0.96,self
GDAXI(self),Tokyo,2.0,1,Mid,501,-0.061734872662364125,0.4930139720558882,-1.3818134627444456,0.03630857436823934,0.96,self
GDAXI(self),Tokyo,2.0,1,High,488,-0.04495384229968721,0.5204918032786885,-0.9930628346194977,0.3140384637018009,0.96,self
GDAXI(self),Tokyo,3.0,1,ALL,583,-0.06599064179103874,0.5111492281303602,-1.5933699760972118,0.0843105003336788,0.96,self
GDAXI(self),Tokyo,3.0,1,Low,193,-0.01880318190113825,0.5284974093264249,-0.26122215138499943,-0.08170204620519653,0.96,self
GDAXI(self),Tokyo,3.0,1,Mid,198,-0.08929319351143765,0.4797979797979798,-1.256466606273031,0.04018003675176147,0.96,self
GDAXI(self),Tokyo,3.0,1,High,192,-0.08939311323953773,0.5260416666666666,-1.2386673118210993,0.29669723612129634,0.96,self
GDAXI(self),London,2.0,1,ALL,1929,-0.016013638293400047,0.48729911871435977,-0.7033251192548688,0.08955856312058805,0.96,self
GDAXI(self),London,2.0,1,Low,637,-0.06843557516816995,0.46153846153846156,-1.727235827342948,-0.08915807365006229,0.96,self
GDAXI(self),London,2.0,1,Mid,656,0.025871533069955505,0.5198170731707317,0.6626345618391103,0.03447196728662054,0.96,self
GDAXI(self),London,2.0,1,High,636,-0.006711592106501957,0.47955974842767296,-0.16925991265560125,0.32537507961427825,0.96,self
GDAXI(self),London,3.0,1,ALL,857,-0.025782044165187375,0.4865810968494749,-0.7547580590789814,0.08552674669015269,0.96,self
GDAXI(self),London,3.0,1,Low,283,-0.08658687128090743,0.4628975265017668,-1.4566166334129411,-0.0831245202822861,0.96,self
GDAXI(self),London,3.0,1,Mid,291,0.05636794684749571,0.5223367697594502,0.9615651411393881,0.03579751027266005,0.96,self
GDAXI(self),London,3.0,1,High,283,-0.049449469292190885,0.4734982332155477,-0.8318688320631146,0.3053130235477164,0.96,self
GDAXI(self),NY,2.0,1,ALL,954,-0.0032717264942744126,0.49266247379454925,-0.10105345772255213,0.08522601946069606,0.96,self
GDAXI(self),NY,2.0,1,Low,315,0.0017605093633750815,0.5111111111111111,0.03124594155786269,-0.09260390397323434,0.96,self
GDAXI(self),NY,2.0,1,Mid,324,0.019339623095371607,0.5216049382716049,0.3481132157166889,0.03361739247331841,0.96,self
GDAXI(self),NY,2.0,1,High,315,-0.0315613505012741,0.4444444444444444,-0.560158402883726,0.3161391020816435,0.96,self
GDAXI(self),NY,3.0,1,ALL,416,0.006318225294663424,0.5048076923076923,0.12886701627505728,0.09166072071257318,0.96,self
GDAXI(self),NY,3.0,1,Low,137,-0.020203160271552296,0.5036496350364964,-0.23647192822669244,-0.07601269623805947,0.96,self
GDAXI(self),NY,3.0,1,Mid,142,0.02286384110344366,0.5140845070422535,0.2724541111095588,0.04118667402493874,0.96,self
GDAXI(self),NY,3.0,1,High,137,0.015690140460537606,0.49635036496350365,0.18364838564763292,0.3116503028430897,0.96,self
NDX(self),Tokyo,2.0,1,ALL,1955,0.0002849951121104207,0.509462915601023,0.012601167732672839,0.18426048226719258,0.41,self
NDX(self),Tokyo,2.0,1,Low,645,0.00839840076207004,0.5038759689922481,0.21329292606042613,-0.07214761439808265,0.41,self
NDX(self),Tokyo,2.0,1,Mid,665,-0.004153387778831421,0.4932330827067669,-0.10710587741807275,0.11481837491828946,0.41,self
NDX(self),Tokyo,2.0,1,High,645,-0.003252403371219235,0.5317829457364341,-0.08260080120362798,0.5122639299200966,0.41,self
NDX(self),Tokyo,3.0,1,ALL,790,-0.01578506972052739,0.5075949367088608,-0.4436699861436532,0.18479726555671477,0.41,self
NDX(self),Tokyo,3.0,1,Low,261,0.01824063454217562,0.5134099616858238,0.2946864695889784,-0.05589710464069989,0.41,self
NDX(self),Tokyo,3.0,1,Mid,269,-0.02606629485783983,0.4944237918215613,-0.42751902265123004,0.12049882006808173,0.41,self
NDX(self),Tokyo,3.0,1,High,260,-0.039304528376790625,0.5153846153846153,-0.6337664768980008,0.4929415442412053,0.41,self
NDX(self),London,2.0,1,ALL,2268,0.020910764541295025,0.4783950617283951,0.9958442886088967,0.17058799317891654,0.41,self
NDX(self),London,2.0,1,Low,750,-0.003075545327017167,0.46,-0.08422727761184526,-0.06546649527385849,0.41,self
NDX(self),London,2.0,1,Mid,769,0.009993004590013666,0.4811443433029909,0.2771145038174839,0.11089378787964084,0.41,self
NDX(self),London,2.0,1,High,749,0.05613838777730239,0.4939919893190921,1.5363877824604848,0.4682458172306178,0.41,self
NDX(self),London,3.0,1,ALL,942,0.017293749621762063,0.47558386411889597,0.530780083436958,0.17350809625521532,0.41,self
NDX(self),London,3.0,1,Low,312,-0.05948578877849565,0.44551282051282054,-1.0507285228731242,-0.05228881591066452,0.41,self
NDX(self),London,3.0,1,Mid,320,0.0318169730362156,0.471875,0.5691593163780477,0.11521529997608551,0.41,self
NDX(self),London,3.0,1,High,310,0.07957692539032746,0.5096774193548387,1.4010963517613984,0.4609349717554608,0.41,self
NDX(self),NY,2.0,1,ALL,1300,0.002456918559726316,0.48923076923076925,0.08858545846732366,0.16955341976285584,0.41,self
NDX(self),NY,2.0,1,Low,429,0.00703755185941792,0.48484848484848486,0.14576399218821004,-0.07196661387194904,0.41,self
NDX(self),NY,2.0,1,Mid,442,-0.0016155520375602487,0.497737556561086,-0.03396503653230424,0.1034923720127345,0.41,self
NDX(self),NY,2.0,1,High,429,0.0020721640572390542,0.48484848484848486,0.04291931505241733,0.47913635107960395,0.41,self
NDX(self),NY,3.0,1,ALL,603,0.027460266827026444,0.5024875621890548,0.6743159135668739,0.17328678681491697,0.41,self
NDX(self),NY,3.0,1,Low,199,0.04963150629350161,0.49748743718592964,0.7001385555555529,-0.061311248418077245,0.41,self
