ticker,held,status,close,mom_12_1_pct,above_sma200,dist_52w_high_pct,vol20_ann_pct,vol_med6m_pct,calm,dollar_vol_musd,atr14_pct,spread_usd,edge_ratio,bars,note
EBAY,,GREEN,111.98,32.7,Y,-5.6,26.0,31.0,Y,354.0,2.55,0.01,42.7,499,"setup ready (calm + pullback, edge 42.7x)"
SNDK,,YELLOW,1285.35,5451.6,Y,-45.0,152.2,100.1,N,22988.2,15.73,,,362,"watch: outside pullback zone, vol not calm"
MU,,YELLOW,879.55,987.7,Y,-27.5,91.8,78.2,N,45339.4,8.88,,,499,"watch: outside pullback zone, vol not calm"
WDC,,YELLOW,490.42,881.2,Y,-34.3,120.0,83.0,N,4536.9,10.21,,,499,"watch: outside pullback zone, vol not calm"
LITE,,YELLOW,705.3,738.1,Y,-33.0,106.4,96.6,N,3412.3,10.3,,,499,"watch: outside pullback zone, vol not calm"
STX,,YELLOW,799.68,576.9,Y,-26.9,111.4,70.4,N,4288.3,9.51,,,499,"watch: outside pullback zone, vol not calm"
INTC,,YELLOW,89.57,487.1,Y,-36.4,84.8,88.5,Y,11648.7,8.84,,,499,watch: outside pullback zone
CIEN,,YELLOW,369.64,455.9,Y,-41.0,77.0,74.7,N,1007.4,7.77,,,499,"watch: outside pullback zone, vol not calm"
TER,,YELLOW,329.57,418.1,Y,-31.9,111.2,74.5,N,1528.8,9.14,,,499,"watch: outside pullback zone, vol not calm"
GLW,,YELLOW,139.54,313.7,Y,-45.4,106.7,76.8,N,2862.3,9.35,,,499,"watch: outside pullback zone, vol not calm"
LRCX,,YELLOW,283.11,313.2,Y,-34.7,92.6,63.6,N,4203.8,8.6,,,499,"watch: outside pullback zone, vol not calm"
COHR,,YELLOW,259.5,312.5,Y,-39.2,98.9,87.2,N,1472.0,10.07,,,499,"watch: outside pullback zone, vol not calm"
MRVL,,YELLOW,186.9,280.6,Y,-40.9,95.6,69.7,N,6282.4,9.29,,,499,"watch: outside pullback zone, vol not calm"
FIX,,YELLOW,1673.78,259.3,Y,-19.0,70.5,55.2,N,942.7,6.05,,,499,"watch: outside pullback zone, vol not calm"
AMAT,,YELLOW,503.06,257.7,Y,-30.4,91.3,56.2,N,6320.5,8.52,,,499,"watch: outside pullback zone, vol not calm"
AMD,,YELLOW,484.3,228.5,Y,-16.6,82.5,78.5,N,14724.8,7.96,,,499,"watch: outside pullback zone, vol not calm"
FLEX,,YELLOW,110.6,224.7,Y,-31.8,92.1,62.9,N,603.0,7.93,,,499,"watch: outside pullback zone, vol not calm"
DELL,,YELLOW,422.48,222.5,Y,-9.2,80.2,66.4,N,2923.8,7.66,,,499,watch: vol not calm
KLAC,,YELLOW,200.26,188.1,Y,-33.6,97.7,53.6,N,3158.1,7.4,,,499,"watch: outside pullback zone, vol not calm"
VRT,,YELLOW,279.54,149.0,Y,-25.7,70.4,65.0,N,1689.8,6.58,,,499,"watch: outside pullback zone, vol not calm"
CAT,,YELLOW,847.3,147.8,Y,-20.3,47.8,41.5,N,3232.1,4.74,,,499,"watch: outside pullback zone, vol not calm"
CNC,,YELLOW,63.58,142.0,Y,-7.5,40.8,44.4,Y,275.4,3.83,,,499,setup ready BUT no spread data (fill spread_table.csv)
HPE,,YELLOW,47.24,132.5,Y,-15.6,66.6,52.0,N,836.9,5.85,,,499,"watch: outside pullback zone, vol not calm"
KEYS,,YELLOW,308.36,117.4,Y,-17.4,56.4,41.7,N,498.7,4.04,,,499,"watch: outside pullback zone, vol not calm"
ON,,YELLOW,86.52,114.2,Y,-35.4,110.7,59.3,N,1143.4,6.22,,,499,"watch: outside pullback zone, vol not calm"
MPWR,,YELLOW,1314.64,102.8,Y,-22.1,68.0,53.6,N,1394.5,6.26,,,499,"watch: outside pullback zone, vol not calm"
CMI,,YELLOW,647.83,102.4,Y,-11.0,39.7,42.3,Y,659.0,3.56,,,499,setup ready BUT no spread data (fill spread_table.csv)
STLD,,YELLOW,247.31,99.8,Y,-12.3,35.7,36.7,Y,280.0,3.08,,,499,watch: outside pullback zone
ADI,,YELLOW,366.69,87.1,Y,-17.7,42.3,36.1,N,1669.5,3.9,,,499,"watch: outside pullback zone, vol not calm"
VLO,,YELLOW,302.79,86.4,Y,-3.8,39.1,38.6,N,848.3,3.77,,,499,watch: vol not calm
JBHT,,YELLOW,278.5,85.2,Y,-6.7,39.1,34.6,N,308.2,3.31,,,499,watch: vol not calm
CVS,,YELLOW,106.77,82.7,Y,-2.9,21.4,30.7,Y,763.2,2.4,,,499,watch: outside pullback zone
GOOGL,,YELLOW,328.86,79.4,Y,-18.3,44.1,30.6,N,11468.2,3.65,0.06,29.9,499,"watch: outside pullback zone, vol not calm"
VTRS,,YELLOW,17.59,78.6,Y,0.0,32.2,31.6,N,154.9,2.96,,,499,"watch: outside pullback zone, vol not calm"
APA,,YELLOW,35.58,77.9,Y,-18.8,37.2,44.8,Y,173.8,3.58,,,499,watch: outside pullback zone
NUE,,YELLOW,245.82,77.9,Y,-7.5,33.5,29.1,N,310.8,2.61,,,499,watch: vol not calm
CHRW,,YELLOW,176.1,77.6,Y,-15.9,62.0,34.2,N,320.7,3.69,,,499,"watch: outside pullback zone, vol not calm"
GOOG,,YELLOW,328.78,77.6,Y,-17.6,44.4,29.8,N,7733.5,3.62,,,499,"watch: outside pullback zone, vol not calm"
CSCO,,YELLOW,113.51,77.2,Y,-12.4,39.0,37.2,N,2589.6,3.2,,,499,"watch: outside pullback zone, vol not calm"
PWR,,YELLOW,608.18,76.6,Y,-22.5,42.5,40.2,N,824.0,3.93,,,499,"watch: outside pullback zone, vol not calm"
FDX,,YELLOW,311.74,76.2,Y,-7.6,28.2,30.2,Y,571.1,2.47,,,499,setup ready BUT no spread data (fill spread_table.csv)
MRNA,,YELLOW,55.62,75.7,Y,-32.0,87.3,71.5,N,536.0,6.89,,,499,"watch: outside pullback zone, vol not calm"
GEV,,YELLOW,970.65,74.4,Y,-17.4,66.3,46.3,N,3086.5,7.01,,,499,"watch: outside pullback zone, vol not calm"
TXN,,YELLOW,276.67,72.6,Y,-16.7,51.4,42.9,N,2628.8,5.01,,,499,"watch: outside pullback zone, vol not calm"
JBL,,YELLOW,303.32,71.8,Y,-21.3,57.2,47.1,N,422.6,4.81,,,499,"watch: outside pullback zone, vol not calm"
DAL,,YELLOW,86.64,70.4,Y,-7.3,30.8,43.5,Y,626.2,3.25,,,499,setup ready BUT no spread data (fill spread_table.csv)
TRGP,,YELLOW,270.93,68.9,Y,-5.1,32.5,25.9,N,333.4,2.58,,,499,watch: vol not calm
HUM,,YELLOW,383.29,66.0,Y,-6.4,36.5,41.6,Y,516.8,3.74,,,499,setup ready BUT no spread data (fill spread_table.csv)
