ticker,config,trades,pf,sharpe,max_dd,pos_years,total_years,last2_pnl,net_pnl,2018,2019,2020,2021,2022,2023,2024,2025
ALB,A,39,0.8916,-0.0943,15.1743,1,5,-9430.96,-5472.64,,,-267.52,-7662.90,13018.26,-1310.86,,-8120.10
ALB,B,41,1.3298,0.2553,8.9422,4,5,2348.37,10809.34,,,2707.17,-3133.17,10112.97,1993.54,,354.83
AWK,A,137,1.0917,0.1349,9.2995,5,8,-355.41,-248.33,1890.68,1030.02,-5155.78,7180.58,1988.13,-3006.88,-3106.82,2751.41
AWK,B,169,0.9364,-0.1205,14.8390,5,8,-6032.13,-8427.86,977.28,1608.78,-2104.16,4984.51,1987.84,-5099.29,-8014.25,1982.12
AXON,A,98,1.6654,0.4950,14.4256,4,6,23056.43,26471.74,,-9948.33,-2450.27,4149.65,14395.26,17237.43,5819.00,
AXON,B,115,1.2965,0.3088,14.2329,4,6,16325.32,15074.27,,-4328.37,-7511.50,2302.40,11402.41,9550.39,6774.93,
GOOGL,A,166,1.5705,0.6223,6.9048,6,6,19196.38,28596.72,,735.89,5488.72,203.26,,5053.67,305.40,18890.98
GOOGL,B,164,1.5160,0.6201,7.5290,5,6,19348.74,27825.96,,-4914.23,6410.63,7994.24,,997.58,123.44,19225.30
HCA,A,168,1.4984,0.5616,12.0573,4,7,10210.79,27597.48,,-739.49,-2537.96,12494.84,-2075.02,13450.56,4088.09,6122.70
HCA,B,193,1.5457,0.7132,13.4210,5,7,17086.84,38958.72,,1489.92,-5106.59,21679.96,-2088.54,9751.61,4651.64,12435.20
JPM,A,277,1.3105,0.5896,11.5997,5,8,14463.61,17921.09,2228.25,3397.84,-247.38,-101.37,-368.50,6367.88,6718.11,7745.50
JPM,B,257,1.1658,0.3305,13.5068,6,8,12470.78,7495.12,401.80,-895.92,741.10,75.10,-1703.57,3316.47,5286.49,7184.29
KEYS,A,157,1.1962,0.2858,11.0480,4,6,2629.69,7181.90,,,7465.80,-2355.26,-2199.91,5902.31,2057.81,571.88
KEYS,B,165,1.3040,0.4616,8.8683,5,6,6581.90,15565.79,,,3779.21,3749.41,-1652.21,7699.12,1163.20,5418.70
LHX,A,113,0.8966,-0.1550,10.9046,2,5,-4087.95,-4957.82,,,-1102.60,3091.11,,-872.34,-7878.89,3790.94
LHX,B,130,1.3148,0.4471,8.2380,3,5,3190.71,9066.60,,,-730.16,9063.54,,2.90,-2120.82,5311.53
MCO,A,198,1.5745,0.8789,5.8807,7,7,11564.30,31202.49,328.27,5367.40,1436.63,11303.53,,4317.69,6802.49,4761.81
MCO,B,236,1.1890,0.3599,11.3482,5,7,4000.75,13666.41,-1787.00,7464.82,11828.74,1700.85,,-5983.14,2008.20,1992.56
MPWR,A,113,1.2883,0.3651,13.6578,4,6,5026.99,16516.03,,-2948.03,597.58,843.99,,14086.62,-1454.92,6481.91
MPWR,B,144,1.2167,0.3306,15.4581,4,6,4109.51,18901.92,,2075.65,4543.42,-745.24,,10538.50,-3299.64,7409.15
MSFT,A,283,1.1875,0.3869,12.9907,3,7,5986.70,10092.64,-1507.01,2422.99,-3546.24,-2515.82,,13900.74,-118.02,6104.72
MSFT,B,253,1.1293,0.2648,13.1304,3,7,3080.20,5812.13,-1437.16,-3413.07,-1034.66,4756.69,,7925.25,-3505.63,6585.83
NSC,A,161,1.1613,0.2340,10.1475,3,7,1928.59,5530.90,,-1095.34,8551.89,-5409.40,-1084.20,5322.12,-99.39,2027.98
NSC,B,178,0.9107,-0.1668,14.3825,2,7,-2586.99,-8354.28,,-4909.68,7333.46,-2749.98,-1056.40,-1595.53,-4700.60,2113.61
NVDA,A,118,2.1270,0.6470,9.9293,5,7,10229.08,69593.40,-8520.64,13184.92,4704.86,2924.61,,49858.05,-1078.82,11307.90
NVDA,B,106,1.9702,0.5971,7.7410,6,7,6723.58,58996.32,788.52,13331.39,2353.80,3311.75,,34873.04,-1030.37,7753.95
PWR,A,113,1.0472,0.0599,13.5882,2,7,8144.68,-2985.59,-1840.05,-2491.14,-874.67,,1149.88,-2366.00,-1549.93,9694.60
PWR,B,144,1.2701,0.3794,12.0730,3,7,15725.30,6353.56,-325.08,-4745.36,-798.14,,1117.84,2190.37,-512.49,16237.78
RMD,A,121,1.3006,0.3585,8.9371,4,6,-8266.97,9737.30,2200.95,3041.50,1728.09,13633.00,,-6020.87,,-2246.10
RMD,B,144,1.4765,0.6335,9.0573,5,6,7594.45,20411.57,1121.80,154.59,3310.07,11330.66,,-7900.29,,15494.74
SBAC,A,122,0.8327,-0.2670,13.9891,2,7,-7820.59,-10158.23,-326.55,1674.39,-2491.60,2024.67,-1407.75,-2207.43,-5613.17,
SBAC,B,136,0.9044,-0.1649,14.2793,1,7,-781.44,-7381.32,-326.55,5275.00,-5410.33,-2746.95,-1346.73,-144.02,-637.42,
TDY,A,147,0.8995,-0.1644,13.7468,2,7,-2317.94,-6383.02,,3021.92,-2422.26,4309.17,-1620.78,-5872.65,-2018.24,-299.70
